Date,Month,Cloud%,Hour,GHI,Flat_POA,V_Shape_POA,Inv_V_POA,Winner
2024-04-01 00:00:00,4,31.972432760393264,0,0.0,0.0,0.0,0.0,InvV
2024-04-01 01:00:00,4,48.39574197662391,1,0.0,0.0,0.0,0.0,InvV
2024-04-01 02:00:00,4,38.05679697637757,2,0.0,0.0,0.0,0.0,InvV
2024-04-01 03:00:00,4,20.0,3,0.0,0.0,0.0,0.0,InvV
2024-04-01 04:00:00,4,60.191235104466415,4,0.0,0.0,0.0,0.0,InvV
2024-04-01 05:00:00,4,36.85336618053535,5,0.0,0.0,0.0,0.0,InvV
2024-04-01 06:00:00,4,62.89667551349145,6,76.02510318276286,42.03093928779107,57.35601435373629,62.36187457167464,InvV
2024-04-01 07:00:00,4,39.672216484247215,7,287.043502584014,152.03220641649528,230.88027810997016,256.6544327464699,InvV
2024-04-01 08:00:00,4,71.47116099270548,8,314.5674382700736,257.1250124736523,289.89806484331655,281.9307255041879,V
2024-04-01 09:00:00,4,57.048646774546526,9,489.4939032852799,425.731706967538,470.0710504988887,445.9459433643147,V
2024-04-01 10:00:00,4,53.84842291075491,10,585.6183545587627,542.7507701436087,568.6993718378009,519.2015164259245,Flat
2024-04-01 11:00:00,4,33.769993579171306,11,759.925318948403,718.131348827412,741.2816862347543,660.076575835614,Flat
2024-04-01 12:00:00,4,29.953431987011854,12,771.8610983044354,736.466577612164,750.5548272342567,660.1962984489056,Flat
2024-04-01 13:00:00,4,55.885262349603614,13,539.1959615105245,516.7301400777726,520.4185567737296,462.178325580771,Flat
2024-04-01 14:00:00,4,43.31917535773601,14,507.94843150495007,465.26399639594,496.1370288361509,455.24080850823657,Flat
2024-04-01 15:00:00,4,41.932567553632836,15,366.153847626817,307.8479802707113,353.84935443908654,340.88035065948776,V
2024-04-01 16:00:00,4,23.74160274588184,16,224.39651952446138,146.88284093920043,204.51048355533337,216.09256276911026,InvV
2024-04-01 17:00:00,4,56.12954918110299,17,7.416160032269217e-14,4.600735178712144e-14,6.149157494201557e-14,6.526976282086218e-14,InvV
2024-04-01 18:00:00,4,45.03415099076173,18,0.0,0.0,0.0,0.0,InvV
2024-04-01 19:00:00,4,34.44556388389138,19,0.0,0.0,0.0,0.0,InvV
2024-04-01 20:00:00,4,35.33560178321261,20,0.0,0.0,0.0,0.0,InvV
2024-04-01 21:00:00,4,40.309202474938786,21,0.0,0.0,0.0,0.0,InvV
