Date,Time,PanelSpacing_cm,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-01,05:15,93,17.1,25.6,23.0,83.96,0.03,67.17,0.02,1.4,0.67
2025-04-01,05:30,93,34.1,25.8,23.7,83.75,0.05,67.0,0.04,2.8,0.67
2025-04-01,05:45,93,51.2,26.0,24.3,83.55,0.08,66.84,0.06,4.2,0.67
2025-04-01,06:00,93,68.2,26.3,25.0,83.34,0.1,66.67,0.08,5.6,0.67
2025-04-01,06:15,93,109.6,26.8,26.6,82.83,0.16,66.26,0.14,9.0,0.67
2025-04-01,06:30,93,151.0,27.4,28.2,82.32,0.22,65.86,0.19,12.3,0.67
2025-04-01,06:45,93,192.4,28.0,29.8,81.81,0.29,65.45,0.24,15.6,0.67
2025-04-01,07:00,93,233.7,28.6,31.4,81.3,0.35,65.04,0.29,18.9,0.67
2025-04-01,07:15,93,284.0,29.1,33.2,80.74,0.42,64.59,0.35,22.9,0.67
2025-04-01,07:30,93,334.3,29.6,35.0,80.17,0.5,64.14,0.42,26.8,0.67
2025-04-01,07:45,93,384.6,30.1,36.8,79.61,0.57,63.68,0.48,30.6,0.67
2025-04-01,08:00,93,434.9,30.7,38.5,79.04,0.65,63.23,0.54,34.5,0.67
2025-04-01,08:15,93,481.4,31.1,40.2,78.53,0.72,62.82,0.6,38.0,0.67
2025-04-01,08:30,93,528.0,31.6,41.8,78.02,0.79,62.41,0.66,41.4,0.67
2025-04-01,08:45,93,574.6,32.0,43.4,77.51,0.86,62.01,0.72,44.8,0.67
2025-04-01,09:00,93,621.1,32.5,45.0,77.0,0.94,61.6,0.78,48.2,0.67
2025-04-01,09:15,93,636.6,32.9,45.8,76.75,0.96,61.4,0.8,49.3,0.67
2025-04-01,09:30,93,652.1,33.3,46.6,76.5,0.98,61.2,0.82,50.4,0.67
2025-04-01,09:45,93,667.6,33.7,47.4,76.25,1.01,61.0,0.84,51.5,0.67
2025-04-01,10:00,93,683.1,34.1,48.1,76.0,1.03,60.8,0.86,52.5,0.67
2025-04-01,10:15,93,712.2,34.4,49.2,75.67,1.08,60.53,0.9,54.6,0.67
2025-04-01,10:30,93,741.2,34.7,50.2,75.33,1.12,60.27,0.94,56.6,0.67
2025-04-01,10:45,93,770.3,35.0,51.3,75.0,1.17,60.0,0.98,58.6,0.67
2025-04-01,11:00,93,799.4,35.4,52.4,74.67,1.21,59.73,1.02,60.6,0.67
2025-04-01,11:15,93,784.8,35.6,52.2,74.72,1.19,59.77,1.0,59.6,0.67
2025-04-01,11:30,93,770.2,35.8,52.0,74.77,1.17,59.81,0.98,58.5,0.67
